date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:30	3636/3636	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-e34%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-48.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/android-chrome-4851dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:30	6048/6048	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-17a0%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-72.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/android-chrome-7251dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:30	9312/9312	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-2460%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-96.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/android-chrome-9651dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:30	16496/16496	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-4070%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-144.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/android-chrome-14451dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:34	25632/25632	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-6420%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-192.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/android-chrome-19251dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:34	23228/23228	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-5abc%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-precomposed.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-precomposed51dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:34	22897/22897	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-5971%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-180.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-18051dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:34	17821/17821	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-459d%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-152.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-15251dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:35	16496/16496	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-4070%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-144.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-14451dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:35	12573/12573	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-311d%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-120.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-12051dc.png	(from https://www.templatemonster.com/demo/46851.html)
